活动类型,日期,我的最爱,标题,距离,热量消耗,时间,平均心率,最大心率,平均踏频,最大踏频,平均配速,最佳配速,平均步长,平均垂直比,平均垂直摆动,平均触地时间,Training Stress Score®,平均功率,最大功率,Grit,Flow,平均 Swolf,平均划桨率,总次数,潜水时长,最低温度,水面休息时间,减压,最佳单圈时间,圈数,最高温度,移动时间,全程用时
步行,2023-04-19 08:40:34,false,"步行","1.18","86","00:14:59","113","122","102","135","12:40","8:21","0.77","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","25.0","0:00","否","14:59.02","1","27.0","00:12:08","00:14:59"
步行,2023-04-18 08:14:09,false,"步行","1.32","114","00:18:32","121","133","88","234","14:01","3:35","0.81","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","25.0","0:00","否","18:32.37","1","27.0","00:13:50","00:18:32"
步行,2023-04-17 08:16:56,false,"步行","0.87","101","00:15:08","123","149","82","200","17:23","6:42","0.70","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","23.0","0:00","否","15:08.08","1","28.0","00:09:32","00:15:08"
步行,2023-04-17 07:45:07,false,"步行","0.92","65","00:12:04","97","108","93","135","13:07","7:34","0.82","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","25.0","0:00","否","12:03.98","1","27.0","00:08:51","00:12:04"
步行,2023-04-16 17:24:22,false,"步行","0.76","57","00:12:59","98","108","77","136","17:05","10:17","0.76","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","28.0","0:00","否","12:58.79","1","29.0","00:08:32","00:12:59"
步行,2023-04-16 12:33:21,false,"步行","0.81","70","00:14:36","114","136","77","119","17:56","10:41","0.73","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","26.0","0:00","否","14:35.86","1","29.0","00:09:59","00:14:36"
步行,2023-04-14 23:26:47,false,"步行","1.08","201","00:49:00","110","148","30","204","45:17","7:13","0.73","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","26.0","0:00","否","49:00.10","1","30.0","00:12:06","00:49:00"
步行,2023-04-14 07:50:40,false,"步行","1.21","105","00:17:38","119","137","88","245","14:33","3:21","0.78","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","24.0","0:00","否","17:37.94","1","28.0","00:12:32","00:17:38"
步行,2023-04-14 07:21:32,false,"步行","0.79","78","00:14:06","108","122","73","231","17:58","3:50","0.76","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","22.0","0:00","否","14:05.98","1","24.0","00:07:44","00:14:06"
步行,2023-04-12 20:05:45,false,"步行","5.62","301","01:03:38","109","121","108","228","11:19","3:28","0.82","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","22.0","0:00","否","01:03:38.09","1","26.0","01:02:01","01:03:38"
步行,2023-04-12 18:06:17,false,"步行","0.95","71","00:13:32","92","104","88","130","14:13","7:38","0.80","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","23.0","0:00","否","13:32.06","1","25.0","00:09:42","00:13:32"
步行,2023-04-12 12:38:59,false,"步行","0.74","86","00:15:28","115","133","77","220","20:50","3:55","0.63","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","28.0","0:00","否","15:28.38","1","30.0","00:09:40","00:15:28"
步行,2023-04-10 18:37:03,false,"步行","0.78","78","00:14:02","110","125","79","244","18:01","4:41","0.70","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","26.0","0:00","否","14:01.73","1","29.0","00:08:46","00:14:02"
步行,2023-04-09 20:35:52,false,"步行","1.22","101","00:17:20","117","130","93","152","14:15","8:17","0.75","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","25.0","0:00","否","17:20.17","1","27.0","00:12:36","00:17:20"
步行,2023-04-09 17:51:02,false,"步行","0.98","78","00:15:43","95","108","81","236","16:03","8:16","0.77","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","26.0","0:00","否","15:42.98","1","26.0","00:09:45","00:15:43"
步行,2023-04-09 12:38:11,false,"步行","1.40","91","00:18:51","108","123","92","127","13:26","7:28","0.81","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","25.0","0:00","否","18:50.89","1","29.0","00:14:54","00:18:51"
步行,2023-04-09 08:35:41,false,"步行","0.99","81","00:13:43","114","127","92","200","13:53","6:21","0.78","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","22.0","0:00","否","13:43.23","1","26.0","00:09:57","00:13:43"
步行,2023-04-07 18:58:50,false,"步行","0.93","81","00:15:19","115","130","78","238","16:26","4:44","0.78","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","25.0","0:00","否","15:18.62","1","28.0","00:10:10","00:15:19"
步行,2023-04-07 08:59:01,false,"步行","1.31","84","00:13:31","112","122","122","139","10:18","9:21","0.80","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","23.0","0:00","否","13:30.98","1","26.0","00:13:22","00:13:31"
步行,2023-04-06 21:30:35,false,"步行","2.89","171","00:33:54","103","133","102","244","11:44","3:49","0.84","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","20.0","0:00","否","33:54.16","1","26.0","00:28:37","00:33:54"
